;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil
41;41;Even;274;602;329;620;[3094];0.291;1;11.5864;14.067;611.0;0.5;4;716.7472;0.291;12.83
42;42;if;349;601;375;620;[3095];0.728;1;12.6245;13.0841;610.5;0.5;4;670.7472;0.728;12.85
43;43;voters;392;603;479;620;[];0.0;0;;;611.5;1.0;4;566.7472;;
44;44;realise;501;601;600;620;[3096, 3097, 3108];0.6472;3;12.6961;16.0979;610.5;1.0;4;445.7472;0.2157;14.4
45;45;which;617;601;689;620;[3098];0.3718;1;13.6307;14.5943;610.5;0.0;4;356.7472;0.3718;14.11
46;46;politican;709;601;839;625;[3109];0.2102;1;14.2767;16.1109;613.0;2.5;4;206.74720000000002;0.2102;15.19
47;47;is;859;601;884;620;[];0.0;0;;;610.5;2.5;4;161.74720000000002;;
48;48;a;904;606;915;620;[3099];0.5176;1;13.4685;14.8629;613.0;2.5;4;130.74720000000002;0.5176;14.17
49;49;leech;933;601;1004;620;[3100, 3110];1.1643;2;13.4516;14.8323;610.5;2.5;4;41.74720000000002;0.5822;14.14
50;50;on;1023;606;1049;620;[3111];0.259;1;11.8259;14.8965;613.0;2.5;4;0.0;0.259;13.36
51;51;the;1069;601;1110;620;[3101];0.5015;1;8.7904;13.4494;610.5;2.5;4;23.25279999999998;0.5015;11.12
52;52;system;1129;603;1216;625;[];0.0;0;;;614.0;3.5;4;83.25279999999998;;
53;53;they;334;700;391;724;[];0.0;0;;;712.0;98.0;5;661.2850353274733;;
54;54;have;409;700;465;719;[3102];0.3721;1;14.3173;16.885;709.5;2.5;5;588.1082488352442;0.3721;15.6
55;55;low;484;700;527;719;[3103];0.6145;1;11.9278;14.6661;709.5;0.0;5;526.9750084663006;0.6145;13.3
56;56;potential;544;700;674;724;[3104, 3107];0.7114;2;13.0549;16.0562;712.0;2.5;5;383.1448586997581;0.3557;14.56
57;57;to;694;702;720;719;[];0.0;0;;;710.5;1.5;5;339.2495709474923;;
58;58;fire;740;700;795;719;[3105];0.4204;1;13.4785;14.3163;709.5;1.0;5;267.35399818977385;0.4204;13.9
59;59;the;814;700;855;719;[3106];0.6958;1;11.8059;14.7312;709.5;0.0;5;212.10491825522953;0.6958;13.27
60;60;them,.;874;700;941;719;[];0.0;0;;;709.5;0.0;5;139.9141806539194;;
