;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil
24;24;one;761;458;802;472;[3871];0.291;1;13.0801;15.2464;465.0;2.5;2;193.6276968390463;0.291;14.16
25;25;should;822;453;907;472;[3872];0.3882;1;12.504;14.175;462.5;2.5;2;188.79744000000005;0.3882;13.34
26;26;never;926;458;997;472;[3873];0.3237;1;12.9777;15.0671;465.0;2.5;2;205.447909172115;0.3237;14.02
27;27;judge;1016;453;1087;477;[3874, 3875];0.5334;2;11.5982;15.5128;465.0;0.0;2;251.0569915043069;0.2667;13.56
28;28;a;1106;458;1117;472;[];0.0;0;;;465.0;0.0;2;322.1433398088398;;
29;29;person;1136;458;1222;477;[];0.0;0;;;467.5;2.5;2;344.20140177401026;;
30;30;by;49;552;75;576;[];0.0;0;;;564.0;96.5;3;774.6344778430621;;
31;31;actions;94;552;194;571;[3876];0.4531;1;13.6453;16.1522;561.5;2.5;3;657.1434387279489;0.4531;14.9
32;32;such;214;552;269;571;[3877];0.4854;1;12.7949;13.8984;561.5;0.0;3;582.9370626947592;0.4854;13.35
33;33;as;289;557;314;571;[];0.0;0;;;564.0;2.5;3;538.5187936025944;;
34;34;,,try;335;553;390;576;[];0.0;0;;;564.5;0.5;3;462.8138699987216;;
35;35;harding,“,.;409;552;536;576;[3878, 3879];1.2292;2;11.532;14.6352;564.0;0.5;3;320.4040447047971;0.6146;13.08
36;36;You;557;553;599;571;[];0.0;0;;;562.0;2.0;3;261.857493807593;;
37;37;never;619;557;690;571;[3880];0.356;1;12.8419;15.3343;564.0;2.0;3;179.11485885652704;0.356;14.09
38;38;know;709;552;766;571;[3881];0.3079;1;14.1066;16.4376;561.5;2.5;3;119.58801889484417;0.3079;15.27
39;39;what;782;552;839;571;[3882];0.3074;1;13.5017;15.3635;561.5;0.0;3;89.99628360767798;0.3074;14.43
40;40;their;859;552;930;571;[];0.0;0;;;561.5;0.0;3;90.88543922539853;;
41;41;motives;947;552;1049;571;[3883, 3885];0.5181;2;10.0847;14.1185;561.5;0.0;3;135.91108808038294;0.259;12.1
42;42;are;1069;557;1110;571;[];0.0;0;;;564.0;2.5;3;241.3480869267325;;
43;43;and;1129;552;1170;571;[3884];0.4045;1;13.8034;16.0132;561.5;2.5;3;297.8781547263807;0.4045;14.91
44;44;if;1189;552;1215;571;[];0.0;0;;;561.5;0.0;3;355.5473119898301;;
45;45;they;49;651;105;675;[];0.0;0;;;663.0;101.5;4;739.9792;;
46;46;struggle;125;651;240;675;[3886];0.2752;1;14.7409;16.35;663.0;0.0;4;604.9792;0.2752;15.55
47;47;with;257;651;315;670;[3887];0.21;1;13.0372;16.6511;660.5;2.5;4;529.9792;0.21;14.84
48;48;insecurities;335;651;510;670;[3888];0.906;1;11.9661;14.1353;660.5;0.0;4;334.9792;0.906;13.05
49;49;it;530;651;555;670;[];0.0;0;;;660.5;0.0;4;289.9792;;
50;50;can;574;656;615;670;[3889];0.291;1;13.1747;15.0648;663.0;2.5;4;229.9792;0.291;14.12
51;51;be;634;651;660;670;[];0.0;0;;;660.5;2.5;4;184.9792;;
52;52;quite;678;651;750;675;[3890];0.3235;1;11.9372;15.5463;663.0;2.5;4;94.97919999999999;0.3235;13.74
53;53;hurtful;769;651;869;670;[3894];0.2913;1;13.8373;15.3567;660.5;2.5;4;0.0;0.2913;14.6
54;54;to;889;652;915;670;[3891];0.3074;1;12.6912;14.1795;661.0;0.5;4;44.02080000000001;0.3074;13.44
55;55;ask;934;651;975;670;[3892];0.4854;1;13.0185;14.3385;660.5;0.5;4;89.02080000000001;0.4854;13.68
56;56;susch;995;651;1065;670;[3893];0.2752;1;13.046;15.1493;660.5;0.0;4;150.0208;0.2752;14.1
57;57;questions,.;1083;651;1226;675;[];0.0;0;;;663.0;2.5;4;238.0208;;
