;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil
34;34;used;1069;304;1125;323;[];0.0;0;;;313.5;0.0;3;385.65749993712507;;
35;35;for;1144;305;1185;323;[];0.0;0;;;314.0;0.5;3;456.0545824106514;;
36;36;culinary;27;403;144;427;[3955];0.728;1;12.7014;15.3742;415.0;101.0;4;621.3046920615951;0.728;14.04
37;37;and;162;403;203;422;[];0.0;0;;;412.5;2.5;4;567.7172045814303;;
38;38;non,-,culinary;222;403;399;427;[3956, 3957];0.5183;2;12.8105;14.5278;415.0;2.5;4;400.76651603864514;0.2592;13.67
39;39;purposes;417;408;533;427;[3958];0.3884;1;13.701;16.8367;417.5;2.5;4;311.1280745573334;0.3884;15.27
40;40;throughout;552;403;698;427;[3959];0.5176;1;13.8299;16.2719;415.0;2.5;4;248.91875055478164;0.5176;15.05
41;41;the;717;403;758;422;[];0.0;0;;;412.5;2.5;4;248.46248887458566;;
42;42;world,,;775;403;859;425;[3960];0.4526;1;14.2294;16.4201;414.0;1.5;4;255.94307253323657;0.4526;15.32
43;43;primarily;882;403;1014;427;[3961];0.6148;1;13.6125;16.2802;415.0;1.0;4;300.2046774748082;0.6148;14.95
44;44;for;1033;404;1073;422;[];0.0;0;;;413.0;2.0;4;405.36055463963635;;
45;45;its;1093;403;1133;422;[3962];0.3879;1;12.5907;13.0655;412.5;0.5;4;453.61069693929574;0.3879;12.83
46;46;juice,,;1152;403;1234;427;[3963];0.6309;1;7.4868;10.8119;415.0;2.5;4;504.01187325077336;0.6309;9.15
47;47;which;55;502;128;521;[];0.0;0;;;511.5;96.5;5;680.8011732493956;;
48;48;has;147;502;188;521;[3964];0.4209;1;12.634;15.0224;511.5;0.0;5;629.9472973969755;0.4209;13.83
49;49;both;207;502;263;521;[];0.0;0;;;511.5;0.0;5;568.891727394373;;
50;50;culinary;282;502;399;526;[3965];0.76;1;12.2321;15.5258;514.0;2.5;5;468.6207565801515;0.76;13.88
51;51;and;417;502;458;521;[];0.0;0;;;511.5;2.5;5;431.25249854088224;;
52;52;cleaning;477;502;594;526;[3966];0.4529;1;12.0747;14.7119;514.0;2.5;5;367.40486319284565;0.4529;13.39
53;53;uses,.;612;507;679;521;[3967];0.291;1;13.1788;14.9259;514.0;0.0;5;354.11928484305065;0.291;14.05
54;54;The;701;502;743;521;[];0.0;0;;;511.5;2.5;5;347.43744000000004;;
55;55;pulp;762;502;819;526;[3968, 3971];0.5659;2;14.705;15.5835;514.0;2.5;5;350.81012171508627;0.283;15.14
56;56;and;837;502;878;521;[];0.0;0;;;511.5;2.5;5;368.74373418100765;;
57;57;rind;900;502;953;521;[3969];0.3071;1;14.6023;16.4189;511.5;0.0;5;394.3418180940916;0.3071;15.51
58;58;are;972;507;1013;521;[];0.0;0;;;514.0;2.5;5;437.09138163289566;;
59;59;also;1032;502;1088;521;[3970];0.2749;1;13.5216;12.0124;511.5;2.5;5;471.35216292890146;0.2749;12.77
60;60;used;1107;502;1163;521;[];0.0;0;;;511.5;0.0;5;524.9543422982171;;
61;61;in;1183;502;1208;521;[];0.0;0;;;511.5;0.0;5;584.0970103482414;;
62;62;cooking;34;601;135;625;[3972];0.3718;1;11.9146;13.8882;613.0;101.5;6;730.7094105167619;0.3718;12.9
63;63;and;154;601;195;620;[];0.0;0;;;610.5;2.5;6;684.1926648377295;;
64;64;baking,.;214;601;311;625;[3973];0.4365;1;11.9278;13.9728;613.0;2.5;6;601.0741207353329;0.4365;12.95
65;65;The;332;601;375;620;[3974];0.3074;1;11.6295;14.766;610.5;2.5;6;560.2407363069501;0.3074;13.2
66;66;juice;394;601;465;625;[];0.0;0;;;613.0;2.5;6;510.9253591452998;;
67;67;of;483;602;510;620;[3975];0.2424;1;11.4605;14.6508;611.0;2.0;6;491.5293658549341;0.2424;13.06
68;68;the;529;601;570;620;[];0.0;0;;;610.5;0.5;6;468.9249434800346;;
69;69;lemon;588;601;659;620;[];0.0;0;;;610.5;0.0;6;449.74835921629955;;
70;70;is;679;601;704;620;[3976];0.2266;1;12.643;14.6297;610.5;0.0;6;446.53791173623057;0.2266;13.64
71;71;about;724;601;794;620;[3977];0.2913;1;13.8036;15.8715;610.5;0.0;6;446.5615597179784;0.2913;14.84
72;72;5,%;813;602;841;620;[];0.0;0;;;611.0;0.5;6;458.37330364862396;;
73;73;to;859;603;885;620;[];0.0;0;;;611.5;0.5;6;471.46000506697663;;
74;74;6,%;903;602;931;620;[3978];0.3232;1;13.3773;15.0783;611.0;0.5;6;485.9229625133532;0.3232;14.23
75;75;citric;949;601;1035;620;[3979];0.2588;1;12.6299;13.0255;610.5;0.5;6;504.75719570676125;0.2588;12.83
76;76;acid,,;1054;601;1121;623;[3980];0.2588;1;6.6541;11.217;612.0;1.5;6;561.4852683888987;0.2588;8.94
77;77;with;1142;601;1199;620;[];0.0;0;;;610.5;1.5;6;618.8235892544446;;
78;78;a;1219;606;1230;620;[];0.0;0;;;613.0;2.5;6;677.7568302995948;;
79;79;pH;56;701;82;724;[];0.0;0;;;712.5;99.5;7;835.0753035611541;;
80;80;of;101;701;127;719;[3981, 3982];0.5662;2;14.2888;15.2619;710.0;2.5;7;801.5879755945405;0.2831;14.78
81;81;around;146;700;232;719;[];0.0;0;;;709.5;0.5;7;727.54194912579;;
82;82;2.2,,;251;701;303;722;[3983];0.3882;1;12.7918;15.4023;711.5;2.0;7;683.4333461411974;0.3882;14.1
83;83;giving;325;700;413;724;[3984];0.2752;1;11.7659;15.65;712.0;0.5;7;622.7241955615292;0.2752;13.71
84;84;it;432;700;457;719;[];0.0;0;;;709.5;2.5;7;602.7270424808843;;
85;85;a;476;705;487;719;[];0.0;0;;;712.0;2.5;7;595.2066381835417;;
86;86;sour;507;705;562;719;[3985];0.3718;1;11.433;14.2467;712.0;0.0;7;570.8985392674898;0.3718;12.84
87;87;taste,.;581;702;663;719;[];0.0;0;;;710.5;1.5;7;549.7591959192257;;
88;88;The;685;700;727;719;[3986];0.2266;1;12.7198;14.5611;709.5;1.0;7;545.43744;0.2266;13.64
89;89;distinctive;746;700;907;719;[3987];0.3396;1;13.7046;15.51;709.5;0.0;7;546.4065077739774;0.3396;14.61
90;90;sour;927;705;982;719;[3988];0.2429;1;13.2595;15.7634;712.0;2.5;7;590.4028981447784;0.2429;14.51
91;91;taste;1001;702;1072;719;[3989];0.4854;1;14.6623;16.9824;710.5;1.5;7;618.3527322635144;0.4854;15.82
92;92;of;1091;701;1117;719;[3990];0.4695;1;9.4804;15.106;710.0;0.5;7;664.1696068157241;0.4695;12.29
93;93;lemon;1136;700;1207;719;[];0.0;0;;;709.5;0.5;7;689.9506589153704;;
94;94;juice;49;799;120;823;[3991];0.4854;1;13.2441;15.8341;811.0;101.5;8;876.0756981321613;0.4854;14.54
95;95;makes;138;799;210;818;[];0.0;0;;;808.5;2.5;8;817.791947171011;;
96;96;it;230;799;255;818;[3992];0.291;1;12.73;15.7658;808.5;0.0;8;790.88317016975;0.291;14.25
97;97;a;274;804;285;818;[];0.0;0;;;811.0;2.5;8;778.0470700785099;;
98;98;key;305;799;346;823;[];0.0;0;;;811.0;0.0;8;741.845863274679;;
99;99;ingredient;365;799;510;823;[3993];0.2427;1;13.5305;16.6361;811.0;0.0;8;675.7961740478809;0.2427;15.08
100;100;in;530;799;555;818;[3994];0.2266;1;10.7321;14.4009;808.5;2.5;8;663.6361871219453;0.2266;12.57
101;101;drinks;574;799;660;818;[3995];0.2104;1;7.9469;11.124;808.5;0.0;8;646.6520462024022;0.2104;9.54
102;102;and;679;799;720;818;[];0.0;0;;;808.5;0.0;8;644.43744;;
103;103;foods;740;799;810;818;[3996];0.2913;1;13.3048;14.8995;808.5;0.0;8;644.9832159504258;0.2913;14.1
104;104;such;830;799;885;818;[];0.0;0;;;808.5;0.0;8;654.8880735345191;;
105;105;as;904;804;930;818;[];0.0;0;;;811.0;2.5;8;676.8086193731235;;
106;106;lemonade;949;799;1065;818;[3997];0.3235;1;11.4046;14.869;808.5;2.5;8;686.1290351367982;0.3235;13.14
107;107;and;1084;799;1125;818;[3998];0.2588;1;12.5535;15.1497;808.5;0.0;8;743.3643876711835;0.2588;13.85
108;108;lemon;1144;799;1215;818;[3999];0.1133;1;10.3031;12.9689;808.5;0.0;8;775.0186919408807;0.1133;11.64
109;109;meringue;543;898;661;922;[4000];0.8738;1;12.61;16.0632;910.0;101.5;9;745.2868830039569;0.8738;14.34
110;110;pie,.;680;898;732;922;[4001];0.3071;1;10.301;8.6512;910.0;0.0;9;743.43744;0.3071;9.48
