;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg
18;18;skepticism;396;346;488;370;358.0;0.0;2;[3241.0, 3300.0];[28.37567999999999, 31.242880000000014];0.5016;0.2587;2;9.4628;8.6701;25.524892870639082;9.07;0.2508
19;19;and;497;346;528;365;355.5;2.5;2;[3295.0];[41.77467265788688];0.2585;0.2585;1;9.319;8.6059;122.58454778665053;8.96;0.2585
20;20;whether;537;346;610;365;355.5;0.0;2;[3242.0, 3296.0];[23.644799999999975, 29.782719999999983];0.7766;0.4044;2;9.0387;8.7272;162.3583054729804;8.88;0.3883
21;21;it’s;617;346;641;365;355.5;0.0;2;[];[];0.0;0.0;0;;;242.12954250990856;;
22;22;possible;650;346;721;370;358.0;2.5;2;[3243.0, 3244.0];[2.8999101293661678, 43.59359999999998];0.55;0.3074;2;6.7306;5.619;275.0738899933209;6.17;0.275
23;23;to;728;347;745;365;356.0;2.0;2;[3297.0];[2.157759999999996];0.4043;0.4043;1;10.9439;10.255;353.0275372772748;10.6;0.4043
24;24;know;754;346;799;365;355.5;0.5;2;[3293.0];[0.0];0.1941;0.1941;1;9.9602;9.7075;378.96185791720205;9.83;0.1941
25;25;anything;807;346;883;370;358.0;2.5;2;[3245.0];[75.58208000000002];0.2104;0.2104;1;8.0831;7.2073;431.92550672084377;7.65;0.2104
26;26;at;892;347;909;365;356.0;2.0;2;[3298.0];[59.52224000000001];0.2587;0.2587;1;10.8493;10.7261;516.912718818233;10.79;0.2587
27;27;all.;916;346;940;365;355.5;0.5;2;[];[];0.0;0.0;0;;;540.8731312942599;;
28;28;Some;950;346;1000;365;355.5;0.0;2;[3299.0];[51.504492628647455];0.2424;0.2424;1;9.9427;8.9916;574.8608570393862;9.47;0.2424
29;29;argue;1008;351;1058;370;360.5;5.0;2;[3266.0];[10.21120000000002];0.097;0.097;1;7.4485;6.9671;632.9810677706386;7.21;0.097
30;30;that;263;450;299;470;460.0;99.5;3;[];[];0.0;0.0;0;;;141.36336101004954;;
31;31;our;306;455;335;470;462.5;2.5;3;[3249.0];[0.7228799999999751];0.3557;0.3557;1;7.9952;7.779;130.37768457852593;7.89;0.3557
32;32;perceptual;343;450;435;475;462.5;0.0;3;[];[];0.0;0.0;0;;;118.98176000000001;;
33;33;limitations;444;450;536;470;460.0;2.5;3;[3239.0, 3250.0, 3251.0];[0.0, 59.49759999999998, 46.318719999999985];0.744;0.1938;3;9.5935;8.9731;137.37402897221006;9.28;0.248
34;34;can;544;455;573;470;462.5;2.5;3;[];[];0.0;0.0;0;;;209.33122422624297;;
35;35;be;582;450;602;470;460.0;2.5;3;[3252.0];[4.867200000000025];0.3237;0.3237;1;8.4539;5.9332;238.46871794023136;7.19;0.3237
36;36;overcome;610;455;697;470;462.5;2.5;3;[3253.0];[36.99295999999998];0.3074;0.3074;1;9.0572;8.7839;265.40425888831857;8.92;0.3074
37;37;with;705;450;741;470;460.0;2.5;3;[3254.0];[14.136647316022312];0.3071;0.3071;1;9.0653;8.5742;350.4797669424836;8.82;0.3071
38;38;tools;749;450;791;470;460.0;0.0;3;[];[];0.0;0.0;0;;;392.1512971240279;;
39;39;and;799;450;830;470;460.0;0.0;3;[3255.0];[13.950080000000014];0.453;0.453;1;8.0381;7.6009;440.05590535301036;7.82;0.453
