;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
11;-0.2333333333333333;-0.0665500144921429;0.0;-0.114273209181054;-0.0260702390800611;0.0238095238095238;-0.0373013176540998;0.0238095238095238;-0.0734756496830447;-0.0924838260744971;-0.0900937462695559;0.0305392134236734;-0.0857142857142857;-0.1082000944041406;0.0074311775369608;-0.0857142857142857;-0.1402733330929412
110;0.0670033547009071;0.2156005886248908;0.2733082811699523;0.1470495880194708;0.2692867975922411;-0.3571428571428572;0.26186383917522;-0.2384848519654028;0.1852931059304285;0.1513068831672006;0.1913221129472626;-0.3263476921631828;0.149328930358409;0.1521089105432643;0.2782781856321445;0.1486571843895575;0.2069285061326625
111;0.0682857592469902;0.2171737531511172;0.2760456071853477;0.1471195372121734;0.2694353070796091;-0.2;0.2633914584206845;-0.2088552721472937;0.1853392817258374;0.1528781590662864;0.1932148794330341;-0.1996553103911919;0.1506849341599174;0.1535807150768149;0.2792237827179928;0.1488954952007975;0.2070366952944648
112;0.0691499934653854;0.2243978448409286;0.2821139377445824;0.1476547710867128;0.2706432777133443;-0.1608579730793425;0.2634006586145424;-0.1454545454545454;0.187451276860653;0.1536453641851154;0.1960650845681679;-0.1727272727272727;0.1519538179636448;0.1553206828922959;0.2797667407487558;0.1505846504842085;0.2072342981895102
113;0.0731925054711399;0.2302549804386164;0.2831516910950145;0.1524786005478454;0.2712135738109232;-0.1545454545454545;0.2637362637362637;-0.0886405260427918;0.1884099393590651;0.1572366294255546;0.1996939339943293;-0.0875658085422933;0.1540974838260499;0.1566086323663611;0.2806986487548713;0.1524543046126754;0.207764550227277
114;0.0807463533217522;0.230762162584464;0.2833333333333333;0.1525397821285519;0.2715368106911117;-0.1491362221515451;0.2641843800092494;-0.0735552791755263;0.189464361654541;0.1589690845406825;0.1998403315502015;-0.0768543649156858;0.1546929874997925;0.1575106016858395;0.2822614528282493;0.1542454797108485;0.2087912087912088
115;0.0848757480531105;0.2337108813077059;0.2841596301167436;0.1526032724186314;0.2735656589380111;-0.1329607890641877;0.2643880165213179;-0.0726358100384222;0.1904486851388618;0.162875721996802;0.2;-0.0663454953817965;0.1546980355031139;0.160513563006297;0.2836870585263117;0.1564400831993527;0.2108838350966884
116;0.0863916901686197;0.2398679115257107;0.2871400422168403;0.1541795617710332;0.2761844404751728;-0.0732254420915032;0.2689895125301917;-0.0584142208882273;0.1922058556818208;0.1645530630618968;0.200576557666126;-0.0622415011191231;0.1576878839222018;0.1614035087719298;0.2863101979709693;0.1570651181716698;0.2111130593937855
117;0.0912951751575616;0.2417313397275846;0.2894631047030981;0.1548561201705898;0.2772258937789646;-0.0674897431053833;0.2724469535661121;-0.0549719818877742;0.1940962087321663;0.1645880857005533;0.2007696401609492;-0.0588564885696805;0.1593406593406593;0.1619514336063727;0.288728155660919;0.1573969635368803;0.21115554179619
118;0.0952380952380952;0.2439750182371333;0.2900217523195444;0.1565599208452325;0.27728790505267;-0.06742829287905;0.2746186977914173;-0.0536193243597808;0.1943424882790754;0.165001221660714;0.2008638940483228;-0.0585779186129006;0.1598498401480861;0.1624164435673457;0.2887460725388019;0.1592503186917899;0.2128649844780222
119;0.0973773517676375;0.2487237739354691;0.2902526984006719;0.1578672178071179;0.2773819870716821;-0.0647259581842195;0.2750184727245466;-0.0394196173754446;0.1947754021419608;0.1653737731579129;0.2021496043419255;-0.0547950917972667;0.1606694145983153;0.1653737731579129;0.2913256887873525;0.1629801118969646;0.2136623014567115
12;-0.2187775050385341;-0.0533452958343664;0.0263157894736842;-0.1077897992679013;-0.0200926721531169;0.0275367186891354;-0.0338061701891406;0.0275103423940364;-0.0720322521288076;-0.0920510149631295;-0.0818181818181818;0.0328436118431557;-0.0857142857142857;-0.0954185952318464;0.00990179274829;-0.0857142857142857;-0.1257407705631089
120;0.100433761029427;0.2511779244061604;0.2902623983101611;0.1584418588689503;0.2780123563320997;-0.0606587386347853;0.2750686269974902;-0.0354539320104852;0.1950385658007953;0.1667361930821045;0.2040156087620904;-0.0483493778415228;0.1637508346839929;0.1654925459397646;0.292952272677049;0.1635759969729582;0.2145843023472869
121;0.101402183313646;0.2513782594816511;0.290662980230196;0.1588124314145157;0.2787196038334361;-0.059377467411337;0.2757342196388532;-0.032057979631915;0.1954950679334557;0.1685063481865702;0.2052296189112245;-0.0469264303441101;0.1653737731579129;0.1693107658523847;0.2935951806482582;0.1643592943958333;0.2148916559407289
122;0.1015138193886776;0.2527472527472527;0.2907051065082857;0.1609822974491566;0.2797130071143285;-0.0585779186129006;0.275871593073224;-0.029086136310386;0.1988886910817159;0.1690271106570651;0.2064480869989408;-0.0410627806734862;0.1677183030961172;0.1723853284071252;0.2941142912296018;0.1657155355470715;0.2158893070909253
123;0.1032101911609463;0.2540681285958083;0.2950495504164322;0.1612096753872523;0.2800529939441843;-0.0316410363144564;0.2764781973680297;-0.028155858206466;0.1992174012057918;0.1699160311321889;0.207115419114607;-0.0385639260464927;0.169239440626025;0.1732646402440747;0.2995344001327324;0.1669140890545449;0.2171237068779094
124;0.1059618592096231;0.2544336697034489;0.2956039828251981;0.1634445899882652;0.2817384521990016;-0.0260702390800611;0.2775090105774866;-0.0226765676309326;0.1992377735559365;0.1735177906913448;0.2085133102860601;-0.0382627498832534;0.1711410675021986;0.1735177906913448;0.2996635765476747;0.1679026315602466;0.217575126276488
125;0.1063770985479735;0.2545791611472635;0.2964679779336275;0.1644641957155205;0.2820067440075409;-0.0144479397142229;0.2788114218787833;-0.0049816668085767;0.1998369094004791;0.1742030078531783;0.2092436298878597;-0.037698597664926;0.1722308257582633;0.1737711119413567;0.2998119282158629;0.1693142318688878;0.218622364090485
126;0.1067361638688306;0.259314741357817;0.2977961608242365;0.1656431155326294;0.2823017637846113;-0.0131435459528719;0.2793984690894757;-0.0012991231604303;0.2014870093216263;0.1767906623713818;0.2130367126317237;-0.0233372305048214;0.1748153477080144;0.1786157198368195;0.3;0.1720377647628058;0.219195455914146
127;0.1072145526602509;0.2603780117346673;0.2991137211871022;0.1662466235021121;0.2832605834074889;-0.0109890109890109;0.2798476816413852;0.0010602922580659;0.2036321835287002;0.1842130412337137;0.2134288949596503;-0.0178781586898513;0.1770132247724812;0.179047971186435;0.3026269558144113;0.174680409558301;0.2192252025965966
128;0.1076167478027986;0.2612122395399814;0.3;0.1686592307941325;0.2839963762789194;-0.0028515819912143;0.2822048809905772;0.0052262603049667;0.2045203870298171;0.1851565734164375;0.2141370992392042;-0.0110673747634589;0.1773030451108964;0.1818412970910324;0.3032616693779356;0.1752847975854451;0.2195775164134199
129;0.1091744428066773;0.2635318589848746;0.3;0.169020557977342;0.2843410567720694;0.0;0.2831980178311055;0.0074225547408726;0.2054414337459533;0.1880242291594778;0.2144805480885848;-0.005807057532565;0.1783463359156686;0.184098781881402;0.3034285708887318;0.1787500614220145;0.2230886808235744
13;-0.2079163774768637;-0.0517310405791373;0.0274510455405995;-0.0857142857142857;-0.0119803121396895;0.0357490930831437;-0.0244900253943904;0.0382226095237252;-0.0669468965495359;-0.0857142857142857;-0.0778856278509697;0.0329670329670329;-0.0823819554929933;-0.0924838260744971;0.0160741377224935;-0.0736524429909623;-0.0999999999999999
